0;0;1;2
1;1;0;2
2;0;5;2
3;5;0;2
4;0;2;5
5;2;0;5
6;2;4;2
7;4;2;2
8;2;6;2
9;6;2;2
10;1;3;2
11;3;1;2
12;3;5;1
13;5;3;1
14;3;9;2
15;9;3;2
16;9;10;3
17;10;9;3
18;5;7;1
19;7;5;1
20;7;10;2
21;10;7;2
22;6;8;1
23;8;6;1
24;8;10;1
25;10;8;1
26;4;7;3
27;7;4;3
28;4;6;4
29;6;4;4
30;1;18;3
31;18;1;3
32;18;3;1
33;3;18;1
34;3;13;2
35;13;3;2
36;9;13;1
37;13;9;1
38;9;17;2
39;17;9;2
40;4;11;1
41;11;4;1
42;15;2;3
43;2;15;3
44;15;12;1
45;12;15;1
46;6;12;2
47;12;6;2
48;8;12;3
49;12;8;3
50;8;16;2
51;16;8;2
52;16;14;1
53;14;16;1
54;12;14;1
55;14;12;1
